"","plate","Minimum","Maximum","Mean","StandardDeviation","Kurtosis","Skewness"
"1",1,7703.48478786247,10886.8120811914,9874.36841110875,520.841569176803,9.1463289321176,-2.00566448366259
"2",2,7324.51188995125,10355.2877474506,9697.84514764348,491.063199652897,12.0934086898875,-2.65706444597849
"3",3,7485.58611297315,9974.19251143601,9614.04413578737,428.945714760778,19.1297608881215,-4.12390292488549
"4",4,7690.5022081998,10272.6053264502,9522.70040939845,457.308576723501,9.69359162876963,-2.26232555907336
"5",5,7064.67116704629,10511.7489289794,9392.10033141157,567.234305567367,9.38907162496545,-2.26489390792849
"6",6,7113.18963572719,10051.9237246001,9285.99820733311,452.700770805261,11.4396406834956,-2.56836030880577
"7",7,7114.36951597915,9812.36667461983,9237.23674442878,443.668267561499,15.6593428947836,-3.42821239664589
"8",8,7242.45601377231,9537.84816913849,9137.09282547174,391.841954058982,15.0851311580393,-3.3638449703482
"9",9,7025.70724905517,9710.26345117072,9059.00477861525,443.350581050491,12.2472424755848,-2.74715700033222
"10",10,7090.9876968661,9607.45135511026,8949.91762517505,403.232229744034,12.6723237677003,-2.80444833675592
"11",11,7096.80530275652,10204.3912021627,8753.62836723595,605.934664880605,3.33922780452168,-0.500659885351595
"12",12,6493.09381762221,9921.8273793248,8766.34127794485,469.865381714203,10.7065078745645,-2.08619828856199
"13",13,6623.21492558162,9260.28195306875,8648.43870286213,434.033336632552,12.2192299683866,-2.72830430151101
"14",14,6724.81071737976,8943.44315465363,8524.6795926447,389.152544619712,14.9734071385493,-3.37390472965534
"15",15,6741.53259560432,9203.89006620768,8438.97632512297,356.721324525752,19.1362012631413,-4.02465554381263
"16",16,6509.24117203417,8680.9571417421,8344.56903219654,384.023380236861,16.409690748586,-3.65745838920322
"17",17,6222.24446443669,9078.25002406555,8232.61064779315,530.511162385686,7.31171930140152,-1.81088723734973
"18",18,6324.51189036705,8579.37682614726,8147.70616179565,401.642935617649,12.6780324195033,-2.9306467307447
"19",19,6457.74012371163,8893.85159183334,8041.3594211845,361.179541490629,14.8886608168186,-3.12066078361296
"20",20,6281.43611130803,8691.3228842463,7981.91308606114,389.402295069566,9.864610789737,-2.08837487414407
"21",21,7717.56190500955,10658.8583388227,9818.34563530441,494.687666809367,11.764064191991,-2.68595449842244
"22",22,7681.94054978322,11158.2652622731,9726.71019139406,493.849468469129,11.5915075454538,-2.29848066019394
"23",23,7399.90118575288,10232.1105490058,9621.38978172724,485.209193959457,13.0182272657588,-2.92721434054022
"24",24,7685.94806953132,11193.9911783407,9515.62157092677,678.098995953725,3.58555997181819,-0.146561034696587
"25",25,7549.1184047665,10268.0202785883,9433.64364332907,443.628666534319,12.4139691062379,-2.76231780453198
"26",26,7432.40280176424,9638.75458815348,9329.97361297712,400.616759397443,19.4744712957876,-4.20235320780073
"27",27,7177.64455500924,10495.2556976649,9232.09683314327,487.462473955027,9.76973238288892,-2.017198799014
"28",28,7162.03504977248,9967.82515749217,9161.04760866982,482.85866477253,9.50883470165455,-2.24839073639974
"29",29,7131.22542025899,10263.5207359564,9021.30902764835,449.037822111457,11.0991182056462,-2.23877205953876
"30",30,7134.90988006041,10112.968680662,8961.53157620795,524.227999150965,5.43458890552093,-1.18262612916378
"31",31,6803.17849124281,9606.96305410522,8828.88769784484,491.165025846888,8.10377385665307,-1.8902466115958
"32",32,6965.47754378837,9683.54622588702,8752.19888005126,513.096421523214,5.26909759241091,-1.20341091441901
"33",33,6620.27188659107,9506.05650636075,8633.9914403265,504.937001038406,6.5920473303307,-1.42948630816458
"34",34,6829.64521600619,9016.79306982654,8508.808742741,413.541145411959,11.329915582877,-2.64505760764737
"35",35,6789.53498552973,9772.03379827071,8448.42734334564,394.055363795919,13.0555743725867,-2.36039559451106
"36",36,6416.1329630406,9131.17328409095,8313.9317992604,394.677423383466,13.1043218955195,-2.81998930527618
"37",37,6305.7872469196,9356.66803193869,8204.46001267824,559.902435498581,3.57409569557268,-0.541144316730438
"38",38,6399.80427778594,9732.68270545496,8149.33283396709,399.414524347136,12.9721634232204,-1.73310786253086
"39",39,6380.83255228974,8472.40580154791,8016.93730178124,348.957284865161,17.058498931989,-3.72458181395531
"40",40,6273.70879342709,8972.48684988053,7925.07870466801,430.563650170355,8.98397330873606,-1.99248315088186
"41",41,7645.39341572952,10811.657743124,9811.19013476945,508.221223109616,8.06102405881186,-1.84479264619736
"42",42,7630.68637256434,10337.7959635702,9729.15498335135,441.351072879252,14.1423663500997,-3.13411235049775
"43",43,7770.26056898186,10024.4130051868,9593.12358894944,408.698911237914,13.7850995560402,-3.14424626671887
"44",44,7501.71608313894,10360.1097327252,9537.81727540549,421.697642226624,15.2940349930437,-3.29825874625294
"45",45,7337.93889277545,10082.9288767996,9408.83345032569,489.019700208137,8.18582304184471,-1.89331416030751
"46",46,7380.46409702544,10110.8577182166,9296.50906769994,445.197247802398,10.1958085239936,-2.31378674253473
"47",47,7466.00535397087,10621.0305911314,9231.82367062775,471.762881127841,6.31390680571663,-1.03457248578691
"48",48,6891.33438016079,10683.3716835633,9175.02545858059,556.869823164094,9.97997637547086,-2.14732111766766
"49",49,7155.43242596976,9744.47858832005,9059.1356759816,392.11878825895,13.0699991779479,-2.90590470495917
"50",50,6888.07521716521,9765.43543694065,8906.20913675929,521.365919975521,7.36315487099619,-1.71149768629513
"51",51,7065.97910847718,9343.64744149898,8807.76625320285,373.802507609271,14.8276685395551,-3.29613417412967
"52",52,6969.40216115711,9738.49628272802,8757.4575329558,387.32783399441,17.126389331118,-3.47945157800124
"53",53,6874.57775725954,9422.53778412189,8652.44603977047,441.453151714013,8.71384671898096,-1.997238987584
"54",54,6589.97062091238,9232.67211166798,8569.28300690716,454.375181605968,9.50886104922614,-2.21359334128619
"55",55,6514.62387149183,9301.96927265725,8469.02695748803,439.8548625387,12.140441075473,-2.58286934068977
"56",56,6822.43854569811,9048.74016704901,8325.69677241782,426.256540089643,5.8640748446315,-1.35251485470014
"57",57,6620.02350406463,9441.69784946935,8310.05686171566,554.379927453383,3.59795493473337,-0.57262523945024
"58",58,6224.15638221599,9665.49710798501,8194.30208389949,458.987323201524,8.41125943328899,-1.26437524173356
"59",59,5969.81592946384,8932.83165041841,8053.04553699113,476.023059935558,9.71620510181825,-2.05733470270515
"60",60,6273.72177886561,8757.86835477791,7938.27222516078,360.275199392695,15.5325776132142,-3.22196666950628
